"uniq","feature","category","N","mean","median","min","max","range","std","sum","category_2","wordcount","rank"
"1","repeated_punctuation0","w4w",12169,0.0120678835796917,0,0,5.3e+07,5.3e+07,2670328.8321,15654,"w4w",1297162,2
"2","repeated_punctuation0","w4m",15769,0.00911083234987169,0,0,4.7e+07,4.7e+07,2455656.87239,16683,"w4m",1831117,3
"3","repeated_punctuation0","m4w",48772,0.00875647738208452,0,0,1.52e+08,1.52e+08,3028610.15648,49390,"m4w",5640396,4
"4","repeated_punctuation0","m4m",25671,0.0123430243041439,0,0,8.5e+07,8.5e+07,2265446.9239,22042,"m4m",1785786,1
"5","leetspeak0","w4w",12169,5.39639613247998e-06,0,0,3e+06,3e+06,32679.6172171,7,"w4w",1297162,1
"6","leetspeak0","w4m",15769,2.73057374269367e-06,0,0,2e+06,2e+06,21066.7604751,5,"w4m",1831117,4
"7","leetspeak0","m4w",48772,3.36855781047997e-06,0,0,2e+06,2e+06,20746.6420651,19,"m4w",5640396,3
"8","leetspeak0","m4m",25671,5.03979760172831e-06,0,0,1e+06,1e+06,18720.7704607,9,"m4m",1785786,2
"9","rebus0","w4w",12169,0.000157266401575131,0,0,9e+06,9e+06,215776.049111,204,"w4w",1297162,2
"10","rebus0","w4m",15769,6.71721140702642e-05,0,0,6e+06,6e+06,102613.630202,123,"w4m",1831117,4
"11","rebus0","m4w",48772,8.45685302946814e-05,0,0,1.3e+07,1.3e+07,138853.228465,477,"m4w",5640396,3
"12","rebus0","m4m",25671,0.000264869362846388,0,0,7e+06,7e+06,181352.305432,473,"m4m",1785786,1
"13","capitalization0","w4w",12169,0.0149356826672382,0,0,1.4e+08,1.4e+08,5130230.02556,19374,"w4w",1297162,2
"14","capitalization0","w4m",15769,0.00767291221696921,0,0,1.96e+08,1.96e+08,3597121.98047,14050,"w4m",1831117,4
"15","capitalization0","m4w",48772,0.00849319799531806,0,0,3.2e+08,3.2e+08,5320760.99579,47905,"m4w",5640396,3
"16","capitalization0","m4m",25671,0.0162225485024521,0,0,2.32e+08,2.32e+08,4482641.70998,28970,"m4m",1785786,1
"17","single_letters0","w4w",12169,0.00213080555859638,0,0,2.1e+07,2.1e+07,938585.848805,2764,"w4w",1297162,2
"18","single_letters0","w4m",15769,0.00161213073768634,0,0,2.4e+07,2.4e+07,716323.428194,2952,"w4m",1831117,3
"19","single_letters0","m4w",48772,0.00104620313892854,0,0,2.8e+07,2.8e+07,682931.361241,5901,"m4w",5640396,4
"20","single_letters0","m4m",25671,0.00260557536009354,0,0,1.8e+07,1.8e+07,736628.030061,4653,"m4m",1785786,1
"21","clippings0","w4w",12169,0.00882696224527083,1e+06,0,1.9e+07,1.9e+07,1184462.58486,11450,"w4w",1297162,2
"22","clippings0","w4m",15769,0.00486970521271989,0,0,1.1e+07,1.1e+07,890641.781471,8917,"w4m",1831117,4
"23","clippings0","m4w",48772,0.00507960788568746,0,0,2e+07,2e+07,973675.863599,28651,"m4w",5640396,3
"24","clippings0","m4m",25671,0.0187743660214606,1e+06,0,2.8e+07,2.8e+07,1454594.45515,33527,"m4m",1785786,1
"25","acronyms0","w4w",12169,0.00674241151066713,0,0,2e+07,2e+07,1087515.32014,8746,"w4w",1297162,2
"26","acronyms0","w4m",15769,0.00550374443577336,0,0,1.4e+07,1.4e+07,998036.301535,10078,"w4m",1831117,3
"27","acronyms0","m4w",48772,0.00459985433646857,0,0,8.6e+07,8.6e+07,1052379.97807,25945,"m4w",5640396,4
"28","acronyms0","m4m",25671,0.0103293451734978,0,0,2.2e+07,2.2e+07,1094134.86829,18446,"m4m",1785786,1
"29","emoticons0","w4w",12169,0.00189028047383442,0,0,1e+07,1e+07,575182.698648,2452,"w4w",1297162,1
"30","emoticons0","w4m",15769,0.00125224111839932,0,0,1e+07,1e+07,482660.897132,2293,"w4m",1831117,2
"31","emoticons0","m4w",48772,0.000773349956279665,0,0,4.5e+07,4.5e+07,428469.879026,4362,"m4w",5640396,3
"32","emoticons0","m4m",25671,0.000538698365873627,0,0,7e+06,7e+06,229147.68298,962,"m4m",1785786,4
"33","prosody0","w4w",12169,0.000403958796202787,0,0,5e+06,5e+06,242470.038737,524,"w4w",1297162,1
"34","prosody0","w4m",15769,0.000277972407006215,0,0,5e+06,5e+06,206214.908019,509,"w4m",1831117,3
"35","prosody0","m4w",48772,0.000320190284511939,0,0,3.5e+07,3.5e+07,292372.934424,1806,"m4w",5640396,2
"36","prosody0","m4m",25671,0.000220071161942136,0,0,6e+06,6e+06,145703.603373,393,"m4m",1785786,4
